manufacture_year,mileage_km,engine_cc,fuel_type_enc,transmission_enc,usd_pkr,make_enc,model_enc
2016,161543,1800.0,0,1,104.65,15.582216036861638,15.358359962182487
2016,110115,1800.0,0,1,104.65,15.361645422648705,15.516425399356564
2021,44673,1500.0,0,1,162.29,15.36643805328055,15.36643805328055
2017,58000,1300.0,0,0,105.49,14.689538551572547,14.89805942031078
2020,75000,2700.0,0,1,161.28,15.582216036861638,16.39745756354409
2019,55000,1300.0,0,1,149.69,15.582216036861638,15.358359962182487
2015,76757,1300.0,0,0,104.24,15.361645422648705,15.14411735858117
2015,77000,1300.0,0,0,104.24,15.582216036861638,15.358359962182487
2020,88000,1000.0,0,0,161.28,14.689538551572547,14.733813331245617
2016,92000,1500.0,0,1,104.65,15.361645422648705,15.14411735858117
2015,122500,1800.0,0,1,104.24,15.361645422648705,15.516425399356564
2015,85000,1000.0,0,0,104.24,14.689538551572547,14.733813331245617
2018,53100,1800.0,0,1,121.03,15.361645422648705,15.516425399356564
2020,65000,1500.0,0,1,161.28,15.361645422648705,15.516425399356564
2021,25700,1490.0,0,1,162.29,15.618423127273212,15.628031248395956
2017,130000,3000.0,2,1,105.49,15.582216036861638,16.213552174451078
2019,69000,1300.0,0,1,149.69,15.582216036861638,15.358359962182487
2021,25538,2000.0,0,1,162.29,15.759401624594304,15.778089894916285
2016,53000,1800.0,0,1,104.65,15.361645422648705,15.516425399356564
2020,84000,660.0,0,1,161.28,15.147879956442214,15.06041390500872
2019,82000,1500.0,0,1,149.69,15.361645422648705,15.354131830284432
2017,170000,1000.0,0,0,105.49,14.689538551572547,14.733813331245617
2016,98000,1000.0,0,0,104.65,14.689538551572547,14.733813331245617
2020,38000,660.0,0,0,161.28,15.147879956442214,14.753926335686495
2022,57000,660.0,0,0,203.74,14.689538551572547,14.78798076906705
2017,13000,1000.0,0,0,105.49,14.689538551572547,14.788997292072693
2020,180000,660.0,0,0,161.28,15.013352124324825,14.87243672925792
2016,60099,1000.0,0,0,104.65,14.689538551572547,14.733813331245617
2021,68527,2000.0,0,1,162.29,15.53212936554385,15.705720405742982
2022,17200,996.0,0,1,203.74,15.582216036861638,15.129527855394775
2021,65000,1500.0,0,1,162.29,15.361645422648705,15.14411735858117
2016,88000,1600.0,0,1,104.65,15.582216036861638,15.358359962182487
2019,68000,1300.0,0,0,149.69,15.361645422648705,15.14411735858117
2016,113000,1300.0,0,0,104.65,15.582216036861638,15.358359962182487
2020,23000,660.0,1,1,161.28,14.689538551572547,14.788997292072693
2015,124000,1300.0,0,0,104.24,15.361645422648705,15.14411735858117
2015,55000,1500.0,1,1,104.24,15.361645422648705,15.581728474180032
2017,34000,2700.0,0,1,105.49,15.582216036861638,17.034541540555878
2022,16000,1500.0,0,1,203.74,15.134372535179956,15.789309247054865
2016,80000,800.0,0,0,104.65,14.689538551572547,14.157175401535097
2019,74517,1800.0,0,1,149.69,15.582216036861638,15.358359962182487
2020,69000,1800.0,0,1,161.28,15.361645422648705,15.516425399356564
2021,80000,1500.0,0,1,162.29,15.361645422648705,15.354131830284432
2018,170000,660.0,0,1,121.03,14.689538551572547,14.728490260562266
2015,85000,1000.0,0,1,104.24,15.582216036861638,15.105351411289421
2021,56000,660.0,0,1,162.29,14.689538551572547,14.78798076906705
2020,45000,1000.0,0,1,161.28,15.582216036861638,15.59824380356483
