listing_id,make,model,manufacture_year,price_pkr,mileage_km,fuel_type,transmission,engine_cc,usd_pkr,price_per_cc,fuel_type_enc,transmission_enc,car_age,log_price
11448811,Toyota,Hilux,2018,9400000.0,82000,Diesel,Automatic,2800.0,121.03,3357.1428571428573,2,1,7,16.056220353623207
11449753,Suzuki,Wagon R,2015,2250000.0,100000,Petrol,Manual,1000.0,104.24,2250.0,0,0,10,14.626441218624949
10858916,KIA,Picanto,2019,2650000.0,88000,Petrol,Automatic,1000.0,149.69,2650.0,0,1,6,14.790070575320824
11449746,Suzuki,Alto,2024,2765000.0,17000,Petrol,Manual,660.0,277.63,4189.393939393939,0,0,1,14.83255155460216
11449751,Toyota,Corolla,2020,5225000.0,62000,Petrol,Automatic,1600.0,161.28,3265.625,0,1,5,15.468965547202691
11449750,Toyota,Raize,2023,5990000.0,34281,Petrol,Automatic,1200.0,278.85,4991.666666666667,0,1,2,15.605602137036527
11449747,Haval,Jolion,2024,8570000.0,48500,Hybrid,Automatic,1500.0,277.63,5713.333333333333,1,1,1,15.96377840726007
5332440,Toyota,Passo,2015,3495000.0,112000,Petrol,Automatic,1000.0,104.24,3495.0,0,1,10,15.06684421977304
11449745,Toyota,Yaris Sedan,2021,4700000.0,98000,Petrol,Automatic,1500.0,162.29,3133.333333333333,0,1,4,15.363073279446223
10676617,KIA,Picanto,2023,2900000.0,33000,Petrol,Manual,1000.0,278.85,2900.0,0,0,2,14.88022163978423
10510968,Honda,Vezel,2015,4800000.0,64527,Hybrid,Automatic,1500.0,104.24,3200.0,1,1,10,15.38412668421143
11368271,Honda,Civic,2015,4100000.0,53000,Petrol,Automatic,1800.0,104.24,2277.777777777778,0,1,10,15.226497775576945
11433303,Toyota,Corolla,2018,4400000.0,48000,Petrol,Automatic,1300.0,121.03,3384.6153846153848,0,1,7,15.29711532616119
11449425,Hyundai,Sonata,2023,9450000.0,43000,Petrol,Automatic,2500.0,278.85,3780.0,0,1,2,16.061525405290027
11448300,Toyota,Fortuner,2022,13500000.0,40000,Petrol,Automatic,2700.0,203.74,5000.0,0,1,3,16.41820031748273
11262476,Toyota,Corolla,2021,5990000.0,78000,Petrol,Automatic,1800.0,162.29,3327.777777777778,0,1,4,15.605602137036527
11377719,KIA,Sportage,2021,6590000.0,72000,Petrol,Automatic,2000.0,162.29,3295.0,0,1,4,15.701064058223746
11430373,Suzuki,Cultus,2022,3490000.0,72000,Petrol,Automatic,1000.0,203.74,3490.0,0,1,3,15.06541258071152
11449377,Toyota,Corolla,2018,4850000.0,63000,Petrol,Manual,1300.0,121.03,3730.769230769231,0,0,7,15.394489469099211
11449370,MG,HS,2021,5675000.0,42000,Petrol,Automatic,1500.0,162.29,3783.3333333333335,0,1,4,15.551581297543178
11449739,MG,HS,2021,5850000.0,37000,Petrol,Automatic,1500.0,162.29,3900.0,0,1,4,15.581952390148196
11449741,Changan,Alsvin,2021,3600000.0,106000,Petrol,Automatic,1500.0,162.29,2400.0,0,1,4,15.096444681204078
11431165,KIA,Sportage,2020,6800000.0,24000,Petrol,Automatic,2000.0,161.28,3400.0,0,1,5,15.732433317205148
11357498,Suzuki,Mehran,2015,1650000.0,16000,Petrol,Manual,796.0,104.24,2072.8643216080404,0,0,10,14.316286451937186
11357667,Honda,Fit,2015,3750000.0,75000,Hybrid,Automatic,1500.0,104.24,2500.0,1,1,10,15.137266664613225
11167173,Toyota,Corolla,2015,3900000.0,65210,Petrol,Manual,1800.0,104.24,2166.6666666666665,0,0,10,15.176487367510099
10602747,KIA,Picanto,2023,2900000.0,25000,Petrol,Manual,1000.0,278.85,2900.0,0,0,2,14.88022163978423
11127945,KIA,Sportage,2022,6400000.0,26000,Petrol,Automatic,2000.0,203.74,3200.0,0,1,3,15.671808704579888
11281818,Honda,Civic,2020,5700000.0,43000,Petrol,Automatic,1800.0,161.28,3166.6666666666665,0,1,5,15.555976908243359
11247471,Honda,BR-V,2018,4500000.0,104000,Petrol,Automatic,1500.0,121.03,3000.0,0,1,7,15.319588176962746
11385305,Toyota,Corolla,2019,4700000.0,40000,Petrol,Automatic,1300.0,149.69,3615.3846153846152,0,1,6,15.363073279446223
11449740,Toyota,Corolla,2024,7200000.0,10000,Petrol,Automatic,1800.0,277.63,4000.0,0,1,1,15.789591722875162
11385291,Toyota,Corolla,2019,4400000.0,54000,Petrol,Automatic,1300.0,149.69,3384.6153846153848,0,1,6,15.29711532616119
11411974,KIA,Sportage,2021,6200000.0,29000,Petrol,Automatic,2000.0,162.29,3100.0,0,1,4,15.64006001130563
11449735,Toyota,Corolla,2022,7000000.0,46000,Petrol,Automatic,1800.0,203.74,3888.8888888888887,0,1,3,15.76142084987672
11325139,Honda,Vezel,2019,7000000.0,57000,Hybrid,Automatic,1500.0,149.69,4666.666666666667,1,1,6,15.76142084987672
11441235,KIA,Sportage,2022,7230000.0,32000,Petrol,Automatic,2000.0,203.74,3615.0,0,1,3,15.793749732447525
11449176,Honda,Civic,2019,5630000.0,46000,Petrol,Automatic,1800.0,149.69,3127.777777777778,0,1,6,15.54362017773575
11449302,Toyota,Corolla,2018,3850000.0,129000,Petrol,Manual,1300.0,121.03,2961.538461538461,0,0,7,15.163583966004193
11430323,KIA,Sportage,2020,6195000.0,78000,Petrol,Automatic,2000.0,161.28,3097.5,0,1,5,15.639253234465867
11448637,Toyota,Yaris Sedan,2022,4625000.0,33000,Petrol,Automatic,1300.0,203.74,3557.692307692308,0,1,3,15.346987145144855
11449280,Toyota,Tank,2019,3290000.0,108000,Petrol,Automatic,1000.0,149.69,3290.0,0,1,6,15.006398426692876
